review,sentiment,cleaned_reviews,Cluster
बतौर -लेखक निर्देशक अनुराग कश्यप की किसी किरदार से सहानुभूति नहीं है।,neutral,बतर लखक नरदशक अनरग कशयप क कस करदर स सहनभत नह ह,2
लेखक-निर्देशक सजय खंडूरी दिल्ली की दोनों ही चीजें सतही और फौरी तरीके से बताते हैं।,neutral,लखकनरदशक सजय खडर दलल क दन ह चज सतह और फर तरक स बतत ह,2
वह सिर्फ बतोलेबाजी करते हैं और अपनी भौहें-ऊपर नीचे करते हैं।,neutral,वह सरफ बतलबज करत ह और अपन भहऊपर नच करत ह,2
लाजवाब होने पर उसके अब्बा हाथ उठा देते हैं।,neutral,लजवब हन पर उसक अबब हथ उठ दत ह,2
कमी है तो निरंतरता की।,neutral,कम ह त नरतरत क,2
सनी लियोनी की संवाद अदायगी में दिक्कत है।,neutral,सन लयन क सवद अदयग म दककत ह,2
स्ट्राइकर में परिवेश और चरित्रों का सुंदर संतुलन है।,neutral,सटरइकर म परवश और चरतर क सदर सतलन ह,2
भक्ति और आस्था के नाम पर 'रौंग नंबर' पर भेजे जा रहे संदेश की फिरकी लेता है।,neutral,भकत और आसथ क नम पर रग नबर पर भज ज रह सदश क फरक लत ह,2
निर्देशक गौरी शिदे ने कहानी को इस तरह से पेश किया है कि दर्शकों का दिमाग कहीं और नहीं जाता।,neutral,नरदशक गर शद न कहन क इस तरह स पश कय ह क दरशक क दमग कह और नह जत,2
विनोद कापड़ी के पास विचार और दृष्टि है।,neutral,वनद कपड क पस वचर और दषट ह,2
यहां 50 साल की जिंदगी बिता चुका एक व्यक्ति अचानक वाकिफ होता है कि वह पैदाइशी तो किसी और धर्म का था।,neutral,यह  सल क जदग बत चक एक वयकत अचनक वकफ हत ह क वह पदइश त कस और धरम क थ,2
उसकी वजह से जगहंसाई भी होती है।,neutral,उसक वजह स जगहसई भ हत ह,2
चित्रांगदा सिंह की भी भूमिका को लेखक-निर्देशक का समर्थन मिला है।,neutral,चतरगद सह क भ भमक क लखकनरदशक क समरथन मल ह,2
"कुरैशी परिवार की आखिरी उम्मीद है यह बकरा, जिसे शाहरुख नाम दिया गया है।",neutral,करश परवर क आखर उममद ह यह बकर जस शहरख नम दय गय ह,2
दिव्या दत्ता अपनी आक्रामक भूमिका से प्रभावित करती हैं।,neutral,दवय दतत अपन आकरमक भमक स परभवत करत ह,2
"उनकी टीम की कोशिश पीरियड दिखने से अधिक उस परिवेश को सिरजने की रही है,जिसमें ब्योमकेश,अजीत,अनुकूल गुहा,अंगूरी देवी आदि किरदार विचरते हैं।",neutral,उनक टम क कशश परयड दखन स अधक उस परवश क सरजन क रह हजसम बयमकशअजतअनकल गहअगर दव आद करदर वचरत ह,2
मौसी (डिंपल कपाडि़या) को हास्यास्पद किरदार बना दिया गया है।,neutral,मस डपल कपडय क हसयसपद करदर बन दय गय ह,2
"एक कॉमिक किरदार को डर के चोले में ढांकते हुए दर्शकों के सामने पेश करना नोलान की खासियत रही है, वे इसमें कामयाब भी हुए हैं।",neutral,एक कमक करदर क डर क चल म ढकत हए दरशक क समन पश करन नलन क खसयत रह ह व इसम कमयब भ हए ह,2
उनकी पंक्तियां कमाल करती हैं।,neutral,उनक पकतय कमल करत ह,2
धूम 3' में भी यही हुआ है।,neutral,धम  म भ यह हआ ह,2
आरव के अमीर और जिंदादिल दोस्त के रूप राशुल आनंद अपने किरदार और अदायगी की वजह से याद रह जाते हैं।,neutral,आरव क अमर और जददल दसत क रप रशल आनद अपन करदर और अदयग क वजह स यद रह जत ह,2
"मिलने की भी बात होती है, लेकिन ऐन मौके पर साजन बगैर मिले लौट आते हैं।",neutral,मलन क भ बत हत ह लकन ऐन मक पर सजन बगर मल लट आत ह,2
पाखी के जमींदार पिता के रूप में बरूण चंदा उल्लेखनीय हैं।,neutral,पख क जमदर पत क रप म बरण चद उललखनय ह,2
इसे बाद में पसंद किया जाने लगा।,neutral,इस बद म पसद कय जन लग,2
"एक गाना खत्म हुआ, कुछ सीन हुए और फिर एक गाना आ गया।",neutral,एक गन खतम हआ कछ सन हए और फर एक गन आ गय,2
रिलीज के समय आपत्ति उठाने के लिए अनेक चेहरे और समूह सामने आ जाते हैं।,neutral,रलज क समय आपतत उठन क लए अनक चहर और समह समन आ जत ह,2
सुंदरवन के जंगलों में यह एक सफेद बाघ की खोज से संबंधित कहानी है।,neutral,सदरवन क जगल म यह एक सफद बघ क खज स सबधत कहन ह,2
वे गिरफ्तार कर लिए जाते हैं।,neutral,व गरफतर कर लए जत ह,2
कहीं उसकी क्षिप्र गति तो कहीं उसकी तीव्र गति से मूल कथा को झटके लगते हैं।,neutral,कह उसक कषपर गत त कह उसक तवर गत स मल कथ क झटक लगत ह,2
इस मुश्किल काम में इमोशन भी जोड़ दिए गए हैं।,neutral,इस मशकल कम म इमशन भ जड दए गए ह,2
"आगे भी मतांतर के बावजूद दोनों कामयाब प्रोजेक्ट करते हैं, लेकिन दोनों के बीच जल्द ही अहम और क्रेडिट लेने के टकराव का सिलसिला प्रारंभ हो जाता है।",neutral,आग भ मततर क बवजद दन कमयब परजकट करत ह लकन दन क बच जलद ह अहम और करडट लन क टकरव क सलसल पररभ ह जत ह,2
बाद में यूएस में वीडियो ऑन रिलीज किया गया।,neutral,बद म यएस म वडय ऑन रलज कय गय,2
जैनब की तकदीफ और हिम्मत को उन्होंने पर्दे पर बखूबी उतारा है।,neutral,जनब क तकदफ और हममत क उनहन परद पर बखब उतर ह,2
फिर भी मुक्त होने की उसकी छटपटाहट और जिजीविषा प्रभावित करती है।,neutral,फर भ मकत हन क उसक छटपटहट और जजवष परभवत करत ह,2
फिर भी कोशिश दर्शकों को रिझाने की।,neutral,फर भ कशश दरशक क रझन क,2
हालांकि अभिनव शुक्ला ने पंडित की जिद को पर्दे पर उतारने की कोशिश की है।,neutral,हलक अभनव शकल न पडत क जद क परद पर उतरन क कशश क ह,2
उन्होंने सहयोगी कलाकारों के चुनाव में उनके नृत्य कौशल का ध्यान रखा है।,neutral,उनहन सहयग कलकर क चनव म उनक नतय कशल क धयन रख ह,2
"निर्देशक ने उनकी आंखों और भावों से काम लिया है, जिसमें वे सक्षम नहीं दिखते।",neutral,नरदशक न उनक आख और भव स कम लय ह जसम व सकषम नह दखत,2
पहले तो छोटे-मोटे किरदारों में भी सटीक कास्टिंग का श्रेय कास्टिंग डायरेक्टर मुकेश छाबड़ा को मिलना चाहिए।,neutral,पहल त छटमट करदर म भ सटक कसटग क शरय कसटग डयरकटर मकश छबड क मलन चहए,2
वे शांतनु श्रीवास्तव की मदद से मूल कहानी को उत्तर भारत में रोपते हैं।,neutral,व शतन शरवसतव क मदद स मल कहन क उततर भरत म रपत ह,2
वे भला-बुरा सुनाते हैं।,neutral,व भलबर सनत ह,2
हर शहर का अपना भूगोल और इतिहास होता है।,neutral,हर शहर क अपन भगल और इतहस हत ह,2
पर्दे पर दिखाया जा रहा खौफ सिनेमाघर में नहीं पसर पाता।,neutral,परद पर दखय ज रह खफ सनमघर म नह पसर पत,2
हम सब कलकत्ता वाले अंग्रेजों और जापानियों की इस लड़ाई में  घुन की तरह पिस रहे थे।,neutral,हम सब कलकतत वल अगरज और जपनय क इस लडई म  घन क तरह पस रह थ,2
वही खामोशी जो 'अब तक छप्पन' और 'खामोशी द म्यूजिकल' में आपके रोंगटे खड़े कर देती है।,neutral,वह खमश ज अब तक छपपन और खमश द मयजकल म आपक रगट खड़ कर दत ह,2
बस ड्राईवर बन अपनी मां को सहारा देना चाहता है कि उसकी मां चल बसती है।,neutral,बस डरईवर बन अपन म क सहर दन चहत ह क उसक म चल बसत ह,2
रांझणा' के चरित्र और प्रसंग के बनारस के मंद जीवन की गतिमान अंतर्धारा को उसकी चपलता के साथ चित्रित करते हैं।,neutral,रझण क चरतर और परसग क बनरस क मद जवन क गतमन अतरधर क उसक चपलत क सथ चतरत करत ह,2
पंजाबी लहजा कई बार उनके संवादों से फिसल गया है।,neutral,पजब लहज कई बर उनक सवद स फसल गय ह,2
शिव सुब्रमण्यम के किरदार का कोई औचित्य नहीं हैं।,neutral,शव सबरमणयम क करदर क कई औचतय नह ह,2
इस बार केमिस्ट्री तो परिणति चोपड़ा के साथ दिखती है।,neutral,इस बर कमसटर त परणत चपड क सथ दखत ह,2
"स्वच्छंद, बेपरवाह और दिलफेंक सैम के तौर पर  रणविजय सिंह जंचे हैं।",neutral,सवचछद बपरवह और दलफक सम क तर पर  रणवजय सह जच ह,2
सलमान खान का एक रंगी रोमांस अब अधिक नहीं लुभाता है।,neutral,सलमन खन क एक रग रमस अब अधक नह लभत ह,2
पाओली ने बोल्ड दृश्यों में बेझिझक दिखी हैं।,neutral,पओल न बलड दशय म बझझक दख ह,2
उनका चरित्र ही वैसा गढ़ा गया है।,neutral,उनक चरतर ह वस गढ गय ह,2
हवा में एक जहाज को दूसरे जहाज से जोड़कर उड़ाना या फिर कुएं के अंदर कूदकर फिल्माए गए सारे दृश्य इन्हीं की कल्पना से ऊपजे हैं।,neutral,हव म एक जहज क दसर जहज स जडकर उडन य फर कए क अदर कदकर फलमए गए सर दशय इनह क कलपन स ऊपज ह,2
"उनके लिए कुछ नाटकीय दृश्य रचे भी गए है, लेकिन वे उसमें परफार्म नहीं कर सके हैं।",neutral,उनक लए कछ नटकय दशय रच भ गए ह लकन व उसम परफरम नह कर सक ह,2
जैक्लीन फर्नांडीस दोनों रूपों में एक सी लगती हैं।,neutral,जकलन फरनडस दन रप म एक स लगत ह,2
वे अपनी दमदार संवाद अदायगी से बताते हैं कि 70 पार होने के बावजूद उनमें अब भी काफी ऊर्जा और उत्साह बाकी है।,neutral,व अपन दमदर सवद अदयग स बतत ह क  पर हन क बवजद उनम अब भ कफ ऊरज और उतसह बक ह,2
वे हिंदी सिनेमा को नए लेवल पर ले गए हैं।,neutral,व हद सनम क नए लवल पर ल गए ह,2
सभी ने परफॉर्म करने की अच्छी कोशिश की है।,neutral,सभ न परफरम करन क अचछ कशश क ह,2
हिंदी भाषी दर्शकों कसे ये उच्चारण दोष कर्णकटु लगते हैं।,neutral,हद भष दरशक कस य उचचरण दष करणकट लगत ह,2
हमारी कठिनाई बूझिए न।,neutral,हमर कठनई बझए न,2
हफीज बिन अली(रितेश देशमुख) और प्रवीण चतुर्वेदी(पुलकित सम्राट) एक-दूसरे के मजहब को चोला धारण करते हैं।,neutral,हफज बन अलरतश दशमख और परवण चतरवदपलकत समरट एकदसर क मजहब क चल धरण करत ह,2
साथ ही उसने अपना दबदबा कायम रखा है।,neutral,सथ ह उसन अपन दबदब कयम रख ह,2
रजत कपूर के किरदार पलाश को विस्तार नहीं मिल पाया है।,neutral,रजत कपर क करदर पलश क वसतर नह मल पय ह,2
राजा रवि वर्मा और सुगंधा के अंतरंग पलों को रचने में उन्हें रंगों से बड़ी मदद मिली है।,neutral,रज रव वरम और सगध क अतरग पल क रचन म उनह रग स बड मदद मल ह,2
"पंकज की प्रतिद्वंद्वी नेता के किरदार में लुशीन दुबे ने अंग्रेजी मिश्रित भोजपुरी बोलकर परेशानी बढ़ाई है, लेकिन पंकज के आगे उनकी भंगिमाओं पर नजर नहीं टिकती।",neutral,पकज क परतदवदव नत क करदर म लशन दब न अगरज मशरत भजपर बलकर परशन बढई ह लकन पकज क आग उनक भगमओ पर नजर नह टकत,2
द शौकीन्स' एनएसडी की प्रतिभाओं का नया जमावड़ा और कार्य है।,neutral,द शकनस एनएसड क परतभओ क नय जमवड और करय ह,2
लेकिन एक हसीना थी फेम श्रीराम राघवन इस मामले में चूक गये हैं.,neutral,लकन एक हसन थ फम शररम रघवन इस ममल म चक गय ह,2
कुछ नया देखने का भ्रम थोड़ी देर तक बना रहता है।,neutral,कछ नय दखन क भरम थड दर तक बन रहत ह,2
राम गोपाल वर्मा ने किरदारों के नाम और पेशे बदल दिए हैं।,neutral,रम गपल वरम न करदर क नम और पश बदल दए ह,2
उन्होंने अपने सारे हुनर प्रदर्शित किए हैं।,neutral,उनहन अपन सर हनर परदरशत कए ह,2
रांझणा' के गीत-संगीत में बनारस की लय है।,neutral,रझण क गतसगत म बनरस क लय ह,2
एक्शन का हर सीन हिलते हुए कैमरे के साथ 3डी में देखना किसी का भी सिर दुखा सकता है।,neutral,एकशन क हर सन हलत हए कमर क सथ ड म दखन कस क भ सर दख सकत ह,2
फूहड़ और फार्मूला कामेडी की हमें आदत पड़ चुकी है।,neutral,फहड़ और फरमल कमड क हम आदत पड चक ह,2
जग्गू भारत लौट आती है।,neutral,जगग भरत लट आत ह,2
लेकिन विवेक अपनी नायिका को यह राह दी।,neutral,लकन ववक अपन नयक क यह रह द,2
"मां-बेटा, बाप-बेटी, दोस्त, टीचर-स्टूडेंट के अनोखे संबंधों के साथ जब जीरो दिया मेरे भारत ने सरीखा राष्ट्रप्रेम भी है।",neutral,मबट बपबट दसत टचरसटडट क अनख सबध क सथ जब जर दय मर भरत न सरख रषटरपरम भ ह,2
जांबाज पिंडारी योद्धा के रोल में सलमान खूब खूब जमे हैं,neutral,जबज पडर यदध क रल म सलमन खब खब जम ह,2
मजेदार स्थिति बनती है।,neutral,मजदर सथत बनत ह,2
लंका मुख्य रूप से जसवंत सिसोदिया की कहानी है।,neutral,लक मखय रप स जसवत ससदय क कहन ह,2
अरशद वारसी और नसीरुद्दीन शाह ने भरपूर साथ दिया है।,neutral,अरशद वरस और नसरददन शह न भरपर सथ दय ह,2
वहां हर किरदार को अपनी कमजोरियों से लगाव है।,neutral,वह हर करदर क अपन कमजरय स लगव ह,2
चिम्मन की भूमिका में सत्यदीप मिश्रा की मौजूदगी हर दृश्य का प्रभाव बढ़ा देती है।,neutral,चममन क भमक म सतयदप मशर क मजदग हर दशय क परभव बढ दत ह,2
इंद्र कुमार निर्देशित 'ग्रैंड मस्ती' इसी रूप में प्रचारित की गई है।,neutral,इदर कमर नरदशत गरड मसत इस रप म परचरत क गई ह,2
वे अपना प्रभाव और डर बढ़ाने के लिए साजिशें रचते रहते हैं।,neutral,व अपन परभव और डर बढन क लए सजश रचत रहत ह,2
उन्हें 'रागिनी एमएमएस 2' पसंद आएगी।,neutral,उनह रगन एमएमएस  पसद आएग,2
विद्या ने ऐक्टिंग भी अच्छी की है,neutral,वदय न ऐकटग भ अचछ क ह,2
इसका कारण है उनकी दमदार क्षमता।,neutral,इसक करण ह उनक दमदर कषमत,2
दर्शकों को भूत से डराने का तरीका बहुत कारगर है।,neutral,दरशक क भत स डरन क तरक बहत करगर ह,2
‘पांच’ से ‘बॉम्बे वेल्वेट’ तक के सफर में अनुराग ने बॉम्बे के किरदारों और घटनाओं को बार-बार अपनी फिल्मों का विषय बनाया है।,neutral,पच स बमब वलवट तक क सफर म अनरग न बमब क करदर और घटनओ क बरबर अपन फलम क वषय बनय ह,2
"आदिल हुसैन, सुलभा देशपाडे, प्रिया आनद ने अच्छा काम किया है।",neutral,आदल हसन सलभ दशपड परय आनद न अचछ कम कय ह,2
वे सही में दिल्ली में रहने वाले जैसे लगते भी हैं।,neutral,व सह म दलल म रहन वल जस लगत भ ह,2
वह उसके गले लग जाती है।,neutral,वह उसक गल लग जत ह,2
शोले' इन सभी विशेषताओं से सजी मनोरंजन की स्वादिष्ट थाली रही है।,neutral,शल इन सभ वशषतओ स सज मनरजन क सवदषट थल रह ह,2
यही वजह है कि डांस के सभी सिक्वेंस में गति और ऊर्जा नजर आती है।,neutral,यह वजह ह क डस क सभ सकवस म गत और ऊरज नजर आत ह,2
"उसमें लव, पर्सनल और पेशेवर तीनों जिंदगियों के तार उलझ कर रह  जाते हैं।",neutral,उसम लव परसनल और पशवर तन जदगय क तर उलझ कर रह  जत ह,2
अपनी भिन्नता की वजह से दोनों एक-दूसरे के पूरक हैं।,neutral,अपन भननत क वजह स दन एकदसर क परक ह,2
पृथ्वी खुराना के रोल को जाएद खान को जीवंत बनाया है।,neutral,पथव खरन क रल क जएद खन क जवत बनय ह,2
उन्होंने दृश्य की जरूरतों के मुताबिक बगैर  मेकअप के शॉट  देने में भी गुरेज नहीं किया है।,neutral,उनहन दशय क जररत क मतबक बगर  मकअप क शट  दन म भ गरज नह कय ह,2
इस नज़रिये से देखने पर मिथ्या का दूसरा हिस्सा एक डरावना अनुभव है.,neutral,इस नज़रय स दखन पर मथय क दसर हसस एक डरवन अनभव ह,2
इस इलाके के निम्न तबके का एक प्रतिभाशाली युवक पढ़ाई पूरी करने के बाद कुछ खास और अलग करना चाहता था।,neutral,इस इलक क नमन तबक क एक परतभशल यवक पढई पर करन क बद कछ खस और अलग करन चहत थ,2
पहचान के इस दोराहे पर एक तरफ धर्मपाल की समझ है और दूसरी तरफ भावना व संवेदना...निर्देशक ने धर्मपाल की उलझन को दिखाने की कोशिश की है।,neutral,पहचन क इस दरह पर एक तरफ धरमपल क समझ ह और दसर तरफ भवन व सवदननरदशक न धरमपल क उलझन क दखन क कशश क ह,2
"हमारी मुलाकात एक निर्दयी निर्देशक से होती है, जिसकी कटु कल्पना शहर के अंधेरे कोनों और इंसान के संकरे विवरों में प्रवेश करती है।",neutral,हमर मलकत एक नरदय नरदशक स हत ह जसक कट कलपन शहर क अधर कन और इसन क सकर ववर म परवश करत ह,2
नेहा  धूपिया  ने महक के किरदार को सुंदर तरीके से निभाया है।,neutral,नह  धपय  न महक क करदर क सदर तरक स नभय ह,2
कुमुद मिश्रा ने अवश्यक अपनी जिम्मेदारी का निर्वाह किया है।,neutral,कमद मशर न अवशयक अपन जममदर क नरवह कय ह,2
सैफ ऐसे खिलंदड़े और दिलफेंक आशिक की भूमिका में जंचते हैं।,neutral,सफ ऐस खलदड और दलफक आशक क भमक म जचत ह,2
लाउड कामेडी के अभिनेताओं और उनका दुरुपयोग कर रहे निर्देशकों को अन्नू कपूर की विक्की डोनर अवश्य देखनी चाहिए।,neutral,लउड कमड क अभनतओ और उनक दरपयग कर रह नरदशक क अनन कपर क वकक डनर अवशय दखन चहए,2
यह वो सीन है जो आपको लंबे समय तक याद रह जाएं।,neutral,यह व सन ह ज आपक लब समय तक यद रह जए,2
कुछ सीन तो कमाल के हैं।,neutral,कछ सन त कमल क ह,2
स्क्रिप्ट की बंदिशों के बावजूद उनका काम लाजवाब है.,neutral,सकरपट क बदश क बवजद उनक कम लजवब ह,2
"उन्होंने पीरियड को वर्तमान संदर्भ दिया है, लेकिन उसकी वजह से तत्कालीन परिस्थितियों के चित्रण में फांक रह गई है।",neutral,उनहन परयड क वरतमन सदरभ दय ह लकन उसक वजह स ततकलन परसथतय क चतरण म फक रह गई ह,2
ऐसा 'एंटूरेज' को देखकर तो नहीं लगता क्योंकि यह बहुत अच्छी नहीं है।,neutral,ऐस एटरज क दखकर त नह लगत कयक यह बहत अचछ नह ह,2
मनुष्य और पशु के रिश्ते को मजाकिया तरीके से पेश करती 'एंटरटेनमेंट' एक मजाक बन कर रह जाती है।,neutral,मनषय और पश क रशत क मजकय तरक स पश करत एटरटनमट एक मजक बन कर रह जत ह,2
इसकेअलावा आमिर खान की हैरतअंगेज बाइक ड्रायविंग है।,neutral,इसकअलव आमर खन क हरतअगज बइक डरयवग ह,2
"उन्होंने एक सरल, सहज  और डरपोक पृथ्वी की भूमिका को जस्टिफाई किया है।",neutral,उनहन एक सरल सहज  और डरपक पथव क भमक क जसटफई कय ह,2
"यहां तक कि कानपुर शहर में जिस अखबार को दिखाया जाता है, वह उस शहर से प्रकाशित ही नहीं होता।",neutral,यह तक क कनपर शहर म जस अखबर क दखय जत ह वह उस शहर स परकशत ह नह हत,2
करण अंशुमान ने पहली कोशिश में ही आतंकवाद के प्रासंगिक मुद्दे को कॉमिकल और पॉलिटिकल तरीके से कहने की कोशिश की है।,neutral,करण अशमन न पहल कशश म ह आतकवद क परसगक मदद क कमकल और पलटकल तरक स कहन क कशश क ह,2
चेहरा वही रखा जाता तो क्लाइमैक्स का विस्मय खत्म हो जाता।,neutral,चहर वह रख जत त कलइमकस क वसमय खतम ह जत,2
झोंपड़पट्टी  की एक साधारण लड़की शबरी अपने भाई और प्रेमी के हत्यारों से बदला लेने का फैसला करती है।,neutral,झपडपटट  क एक सधरण लडक शबर अपन भई और परम क हतयर स बदल लन क फसल करत ह,2
इसी प्रकार अनुष्का शर्मा भी सुंदर और भावपूर्ण है।,neutral,इस परकर अनषक शरम भ सदर और भवपरण ह,2
"बोमन ईरानी और डिंपल कपाडि़या के किरदार घिसेपिटे हैं, इसलिए उनके अभिनय में नयापन भी नहीं है।",neutral,बमन ईरन और डपल कपडय क करदर घसपट ह इसलए उनक अभनय म नयपन भ नह ह,2
फिल्म की खासियत है कि सभी सहयोगी और छोटे किरदारों पर निर्देशक और उनकी टीम ने ध्यान दिया है।,neutral,फलम क खसयत ह क सभ सहयग और छट करदर पर नरदशक और उनक टम न धयन दय ह,2
अपेक्षाकृत नए कलाकारों ने बेहतर काम किया है।,neutral,अपकषकत नए कलकर न बहतर कम कय ह,2
"आपका सुरूर और कर्ज के मुकाबले हिमेश इस बार रोल में जमे है। फिल्म में उनकी एक्टिंग देखकर लगता है रेडियो जॉकी की भूमिका के लिए उन्होंने अच्छी खासी तैयारी की है। आरजे की लाइफ स्टाइल , रेडियो पर अपने शो को हिमेश ने दमदार अंदाज में पेश किया है। सोनल सहगल और शहनाज अपनी भूमिकाओं में ठीकठाक रहीं। छोटी सी भूमिका के बावजूद परेश रावल खूब जमे और हंसाने में कामयाब रहे।",neutral,आपक सरर और करज क मकबल हमश इस बर रल म जम ह फलम म उनक एकटग दखकर लगत ह रडय जक क भमक क लए उनहन अचछ खस तयर क ह आरज क लइफ सटइल  रडय पर अपन श क हमश न दमदर अदज म पश कय ह सनल सहगल और शहनज अपन भमकओ म ठकठक रह छट स भमक क बवजद परश रवल खब जम और हसन म कमयब रह,2
रंग रसिया' सेंसरशिप के सवालों से जूझती है।,neutral,रग रसय ससरशप क सवल स जझत ह,2
हालांकि हर सीक्वल पिछली की तुलना में कम प्रभावी रहा।,neutral,हलक हर सकवल पछल क तलन म कम परभव रह,2
नवीनता और मौलिकता की कमी से यह एडल्ट कॉमेडी ढंग से गुदगुदा भी नहीं पाती।,neutral,नवनत और मलकत क कम स यह एडलट कमड ढग स गदगद भ नह पत,2
"हर बार जेल से कोर्ट जाते वक्त जमानत मिलने की आस और वापसी में जमानत ना मिलने का दर्द उनके चेहरे पर नजर आता है। मुग्धा के लिए फिल्म में कुछ खास नहीं था , वहीं अपनी छोटी सी भूमिका के बावजूद मनोज वाजपेयी ने खूब वाहवाही बटोरी।",neutral,हर बर जल स करट जत वकत जमनत मलन क आस और वपस म जमनत न मलन क दरद उनक चहर पर नजर आत ह मगध क लए फलम म कछ खस नह थ  वह अपन छट स भमक क बवजद मनज वजपय न खब वहवह बटर,2
रंभिक विस्तार से यह गलतफहमी पैदा होती है।,neutral,रभक वसतर स यह गलतफहम पद हत ह,2
आरती आचरेकर की आवाज से भारतीय दर्शकों के मानस में उनकी आकृति और अदा उभर सकती है।,neutral,आरत आचरकर क आवज स भरतय दरशक क मनस म उनक आकत और अद उभर सकत ह,2
